region,id,country,instock,outstock,year,group
Americas,BMU,Bermuda,2632,928.33,2014,4
Europe,NOR,Norway,185620.32,213947.51,2014,5
Asia,QAT,Qatar,31004.06,35182.32,2014,4
Europe,CHE,Switzerland,681849.16,1130614.7,2014,5
Asia,MAC,Macao,26746.93,2277.25,2014,4
Europe,LUX,Luxembourg,161311.14,149892.38,2014,5
Europe,SWE,Sweden,321103.33,379527.7,2014,5
Europe,DNK,Denmark,82921.55,183024.63,2014,5
Americas,USA,United States of America,5409884,6318640,2014,5
Asia,SGP,Singapore,912355.41,576395.82,2014,4
Europe,NLD,Netherlands,664441.93,985255.63,2014,5
Americas,CAN,Canada,631315.63,714554.7,2014,5
Europe,AUT,Austria,180824.5,223246.38,2014,5
Asia,KWT,Kuwait,15362.37,36530.54,2014,4
Europe,FIN,Finland,133116.41,164554.33,2014,5
Europe,ISL,Iceland,7425.43,7955.3,2014,5
Europe,DEU,Germany,743511.54,1583279.41,2014,5
Europe,BEL,Belgium,525612.06,450177.56,2014,5
Europe,IRL,Ireland,369167.92,628026.3,2014,5
Asia,ARE,United Arab Emirates,115561.22,66297.51,2014,4
Europe,GBR,United Kingdom,1662857.79,1584146.64,2014,5
Europe,FRA,France,729147.18,1279089.35,2014,5
Asia,JPN,Japan,170615.05,1193136.61,2014,5
Oceania,NZL,New Zealand,76790.89,18677.68,2014,5
Asia,BRN,Brunei,6218.88,133.83,2014,4
Asia,HKG,Hong Kong,1549848.75,1459947.39,2014,4
Asia,ISR,Israel,98697.23,78016.17,2014,5
Europe,ITA,Italy,373737.87,548416.34,2014,5
Europe,ESP,Spain,721879.91,673988.5,2014,5
Asia,KOR,South Korea,182036.8,258552.6,2014,5
Asia,CYP,Cyprus,58145.06,41912.53,2014,4
Asia,SAU,Saudi Arabia,215908.8,44698.7,2014,4
Europe,SVN,Slovenia,12743.12,6192.65,2014,5
Asia,TWN,Taiwan,68636,258829,2014,4
Europe,GRC,Greece,20180.78,33938.97,2014,5
Europe,PRT,Portugal,108514.55,58355.14,2014,5
Americas,BHS,"Bahamas, The",18751.16,3867.98,2014,4
Europe,MLT,Malta,172357.98,44493.4,2014,4
Asia,BHR,Bahrain,18771.28,10671.54,2014,4
Americas,TTO,Trinidad and Tobago,26125.27,6410.66,2014,4
Americas,PRI,Puerto Rico,,,2014,4
Europe,EST,Estonia,19297.8,6318.92,2014,5
Europe,CZE,Czech Republic,121530.01,19041.48,2014,5
Asia,OMN,Oman,19706.93,7453.2,2014,4
Europe,SVK,Slovakia,53216.15,2974.91,2014,4
Americas,URY,Uruguay,22318.2,428.4,2014,4
Europe,LTU,Lithuania,14691.23,2683.27,2014,4
Europe,LVA,Latvia,14566.78,1170.39,2014,4
Americas,KNA,Saint Kitts and Nevis,2077.76,59.38,2014,4
Americas,CHL,Chile,207677.99,89732.84,2014,5
Americas,BB,Barbados,5247.71,3840.16,2014,4
Africa,SYC,Seychelles,2567.24,279.64,2014,4
Europe,POL,Poland,245160.53,65216.7,2014,5
Americas,ARG,Argentina,114076,35938.34,2014,4
Americas,ATG,Antigua and Barbuda,2845.2,111.87,2014,4
Europe,HUN,Hungary,98359.9,39640.62,2014,5
Europe,RUS,Russian Federation,378543,431865,2014,4
Europe,HRV,Croatia,29760.66,5443.74,2014,4
Asia,KAZ,Kazakhstan,129244.21,27199.85,2014,3
Americas,VEN,Venezuela,30139,27349,2014,3
Americas,BRA,Brazil,754768.92,316339.49,2014,3
Asia,MYS,Malaysia,133767.23,135684.68,2014,3
Americas,PAN,Panama,35917.3,4245.7,2014,3
Asia,TUR,Turkey,168645,40088,2014,3
Africa,GNQ,Equatorial Guinea,17249.6,2.58,2014,3
Americas,CRI,Costa Rica,24309.11,2048.64,2014,3
Asia,LBN,Lebanon,56833.74,12629.49,2014,3
Americas,SUR,Suriname,1011.8,..,2014,3
Americas,MEX,Mexico,337973.63,131245.77,2014,3
Africa,GAB,Gabon,6339.4,1006,2014,3
Europe,ROU,Romania,74731.53,695.68,2014,3
Asia,TKM,Turkmenistan,26202.5,..,2014,3
Americas,COL,Colombia,141666.53,43081.88,2014,3
Americas,GRD,Grenada,1506.2,51.42,2014,3
Africa,LBY,Libya,18511,20375,2014,3
Europe,BGR,Bulgaria,46539.19,2194.73,2014,3
Asia,AZE,Azerbaijan,18180.4,11213.8,2014,3
Asia,CHN,China,1085293,729584.67,2014,3
Europe,BLR,Belarus,17730,588,2014,3
Europe,MNE,Montenegro,4982.67,421.74,2014,3
Americas,LCA,Saint Lucia,2510,66.65,2014,3
Africa,BWA,Botswana,4366.51,794.8,2014,3
Americas,DMA,Dominica,846.01,37.56,2014,3
Africa,ZAF,South Africa,145384.38,133936.24,2014,3
Americas,VCT,Saint Vincent and the Grenadines,1814.25,5.61,2014,3
Asia,IRN,Iran,,,2014,3
Asia,IRQ,Iraq,23161.01,1956.1,2014,3
Asia,MDV,Maldives,2489.74,,2014,3
Americas,PER,Peru,79428.79,4205.43,2014,3
Americas,ECU,Ecuador,14590.96,696.98,2014,3
Americas,DOM,Dominican Republic,28756.9,171.18,2014,3
Americas,CUB,Cuba,,,2014,3
Europe,SRB,Serbia,33141.82,3015.32,2014,3
Asia,THA,Thailand,199310.85,65768.73,2014,3
Africa,NAM,Namibia,3721.91,60.44,2014,3
Africa,DZA,Algeria,26785.8,1733.1,2014,3
Asia,JOR,Jordan,28733.8,608.45,2014,3
Americas,JAM,Jamaica,13323.72,313.52,2014,3
Europe,MKD,Macedonia,,,2014,3
Oceania,FJI,Fiji,3713.39,50.85,2014,3
Africa,AGO,Angola,,19217.91,2014,3
Europe,BIH,Bosnia and Herzegovina,7383.38,207.72,2014,3
Europe,ALB,Albania,4465.69,239.07,2014,3
Americas,BLZ,Belize,1764.5,54.35,2014,3
Americas,PRY,Paraguay,5380.87,378.55,2014,3
Asia,MNG,Mongolia,16692.82,354.84,2014,3
Oceania,TON,Tonga,402.53,100.38,2014,3
Africa,TUN,Tunisia,31540.4,304.64,2014,3
Oceania,WSM,Samoa,234.54,25.19,2014,2
Americas,GUY,Guyana,1959.94,2.36,2014,2
Asia,ARM,Armenia,5831.33,205.65,2014,2
Americas,SLV,El Salvador,8503.5,3.1,2014,2
Asia,GEO,Georgia,12241.23,1514.17,2014,2
Asia,IDN,Indonesia,253081.69,24052.32,2014,2
Europe,UKR,Ukraine,63825,9705,2014,2
Africa,SWZ,Swaziland,759.36,103.43,2014,2
Asia,PHL,Philippines,57093,35602.65,2014,2
Asia,LKA,Sri Lanka,10511.04,606.98,2014,2
Africa,CPV,Cape Verde,1474.22,,2014,2
Americas,GTM,Guatemala,12102.06,502.9,2014,2
Oceania,VUT,Vanuatu,503.05,22.7,2014,2
Africa,MAR,Morocco,51663.95,4194.07,2014,2
Africa,EGY,Egypt,87882,6839,2014,2
Africa,NGA,Nigeria,86671.23,10258.94,2014,2
Oceania,KIR,Kiribati,14.71,0.8,2014,2
Americas,BOL,Bolivia,11206.3,51.95,2014,2
Africa,COG,Congo,22009.68,94.08,2014,2
Asia,TLS,Timor-Leste,316.47,86.33,2014,2
Europe,MDA,Moldova,3646.88,178.25,2014,2
Asia,BTN,Bhutan,112.18,,2014,2
Americas,HND,Honduras,11227.57,392.55,2014,2
Oceania,PNG,Papua New Guinea,3876.77,315.26,2014,2
Asia,UZB,Uzbekistan,9001.6,,2014,2
Asia,VNM,Vietnam,,,2014,2
Americas,NIC,Nicaragua,8040.1,374.7,2014,2
Asia,SYR,Syria,10742.91,420.63,2014,
Oceania,SLB,Solomon Islands,781.14,48.21,2014,2
Africa,SDN,Sudan,22693.3,,2014,2
Africa,ZMB,Zambia,15008.6,2416.92,2014,2
Africa,STP,Sao Tome and Principe,345.26,22.49,2014,2
Asia,LAO,Laos,,,2014,2
Africa,GHA,Ghana,23205.1,129.9,2014,2
Asia,IND,India,252331.39,129578.07,2014,2
Africa,CIV,Cote dIvoire (IvoryCoast),7711.45,114.32,2014,2
Asia,PAK,Pakistan,30892,1695,2014,2
Africa,CMR,Cameroon,6493.3,43.4,2014,2
Africa,LSO,Lesotho,586.26,253,2014,2
Asia,YEM,Yemen,3096.94,806.43,2014,2
Africa,KEN,Kenya,4369.85,321.28,2014,2
Africa,MRT,Mauritania,5967.7,47.55,2014,2
Asia,MMR,Myanmar,17651.94,,2014,2
Asia,KGZ,Kyrgyzstan,3520.05,426.7,2014,2
Asia,BGD,Bangladesh,9354.76,130.02,2014,2
Asia,JK,Tajikistan,1885.4,,2014,2
Africa,SEN,Senegal,2698.61,397.2,2014,2
Asia,KHM,Cambodia,13034.97,483.56,2014,1
Africa,TCD,Chad,5518.2,70.26,2014,1
Africa,SSD,South Sudan,,,2014,1
Africa,TZA,Tanzania,,,2014,1
Africa,BEN,Benin,1581.27,171.84,2014,1
Africa,ZWE,Zimbabwe,3545.75,487.31,2014,1
